x1	x2
21	13
2	5
47	20
12	12
5	33
33	25
3	17
4	8
14	1
47	45
38	8
17	24
40	18
15	9
47	5
46	15
5	48
25	26
44	23
4	51
45	49
9	2
9	15
21	34
40	10
49	13
33	30
22	3
16	23
21	6
37	13
7	36
13	46
39	31
34	2
2	4
5	34
12	48
40	3
26	10
26	43
29	19
40	29
45	19
15	46
39	14
29	0
44	34
33	36
33	52
27	0
49	25
11	15
17	54
43	54
14	56
23	49
16	26
47	42
34	44
11	33
47	2
22	10
5	25
19	51
39	23
10	3
18	11
3	43
15	36
17	8
10	8
37	44
18	39
37	43
45	42
31	12
12	45
35	33
49	53
40	28
27	52
17	37
41	41
46	50
0	31
35	19
24	29
42	45
30	14
38	4
47	28
14	55
6	16
40	43
1	6
39	53
4	50
20	19
31	39
35	22
2	14
36	23
5	37
20	50
20	21
39	56
1	29
34	54
6	3
13	30
38	15
25	36
7	41
36	15
22	13
7	24
11	51
25	30
21	53
8	30
13	4
41	48
20	22
29	15
24	11
11	38
45	45
20	45
23	18
46	49
24	13
42	7
40	14
36	26
17	1
22	43
26	31
20	28
17	35
8	49
9	24
15	21
15	33
19	8
11	16
21	31
6	8
25	2
22	32
19	1
45	14
26	15
1	1
17	16
11	46
36	9
35	44
13	52
34	56
43	22
48	32
42	3
15	55
49	38
43	52
18	12
23	34
12	31
7	50
21	21
35	53
17	52
33	26
11	25
0	24
37	3
5	10
5	20
23	6
48	51
12	8
3	16
13	41
36	14
12	46
36	5
28	23
18	3
5	31
40	6
7	45
22	42
41	2
37	24
11	35
16	6
3	12
21	20
30	21
2	49
15	4
0	26
22	41
47	8
32	46
28	26
34	6
12	29
2	18
45	3
6	52
26	45
32	4
11	34
14	31
32	27
34	41
49	50
3	19
30	19
15	45
20	34
41	36
39	2
0	35
15	15
40	40
28	42
27	56
43	14
36	35
48	46
33	56
3	41
47	41
40	38
26	48
39	26
3	50
19	35
45	24
17	20
18	45
30	40
22	15
6	5
16	38
23	26
43	15
49	51
37	27
38	5
44	15
13	50
46	56
6	36
18	44
47	32
23	24
16	8
9	28
26	24
14	41
5	41
16	21
1	26
25	25
32	3
20	40
13	38
12	19
26	11
49	18
3	22
25	41
15	1
0	51
0	15
14	50
4	53
21	45
23	20
8	33
18	48
18	25
41	26
37	38
11	24
28	31
36	44
3	15
23	46
9	34
28	17
35	13
49	34
28	28
40	20
47	44
29	44
21	15
31	23
15	48
16	33
40	35
43	23
22	36
1	48
28	38
4	56
6	49
10	52
23	15
43	27
29	45
49	23
28	5
42	47
3	24
2	21
4	0
14	54
27	51
38	41
47	34
38	12
3	32
32	28
36	42
15	27
13	34
34	52
25	19
16	16
39	25
45	56
31	2
44	10
22	8
8	46
41	10
30	9
22	56
47	36
23	28
24	51
26	14
37	32
16	0
45	40
18	6
40	24
3	49
24	42
44	40
21	49
48	38
18	1
15	5
29	40
12	28
18	55
24	15
23	23
29	9
35	0
0	52
43	9
11	27
45	54
25	47
11	7
34	42
3	56
1	44
17	7
35	45
33	17
46	34
11	56
32	39
34	49
5	19
7	12
20	3
47	37
37	6
39	12
29	53
25	9
8	25
44	26
13	15
26	40
11	22
27	21
41	37
27	20
45	32
0	39
28	43
25	34
16	19
9	37
33	7
16	7
40	13
42	26
15	24
5	35
49	15
33	8
46	13
35	29
1	17
16	53
7	0
16	32
40	53
42	19
34	12
49	7
17	33
16	24
13	17
17	9
42	12
21	38
28	37
3	52
39	55
27	6
29	43
3	47
13	8
11	17
19	43
5	16
16	50
27	22
29	39
20	24
4	54
22	5
19	11
6	45
30	44
29	51
35	24
21	2
4	1
18	24
27	54
3	6
46	47
10	28
49	2
19	3
39	42
20	41
49	5
48	55
24	49
0	20
33	29
41	43
40	37
5	38
7	13
27	37
0	2
6	29
11	32
41	9
11	44
37	37
32	12
45	0
23	31
41	34
45	33
45	23
41	40
11	11
44	12
23	53
4	44
34	18
30	50
45	21
0	19
6	44
47	35
14	11
11	14
9	38
19	18
0	23
0	38
1	51
31	3
39	48
31	33
20	36
4	55
25	44
37	1
2	45
6	11
27	47
10	46
17	43
1	0
35	47
32	1
3	42
3	35
26	44
31	17
41	52
41	39
34	37
9	49
12	34
32	36
43	55
14	45
34	24
16	54
46	3
12	4
39	20
12	54
33	50
20	16
18	21
18	27
21	29
12	21
8	23
37	40
17	55
35	41
46	10
39	15
30	31
15	52
46	38
5	42
29	46
28	22
32	43
26	36
8	5
39	30
48	30
43	43
34	47
7	2
15	22
38	48
9	8
10	50
31	5
30	17
31	48
33	28
11	42
35	35
7	20
5	56
12	6
17	25
26	52
24	45
33	54
24	20
42	51
42	4
29	32
30	18
41	25
20	8
7	9
4	27
7	7
17	36
15	41
17	31
22	52
12	16
18	16
37	28
19	31
45	55
46	9
25	21
19	53
5	26
8	35
33	46
40	26
29	10
20	38
28	14
23	12
28	39
3	0
1	32
16	5
13	13
7	4
26	0
23	48
45	25
8	40
33	35
46	4
24	16
28	41
22	1
26	32
6	31
43	37
4	11
29	50
21	1
1	16
13	9
4	4
32	38
29	38
45	18
41	21
42	16
13	47
40	19
19	21
44	39
31	55
6	35
37	30
31	4
17	49
18	35
29	12
14	23
34	9
10	20
15	30
40	8
28	52
31	30
22	31
16	4
41	35
6	9
28	25
10	21
48	25
24	5
2	29
14	38
21	17
41	45
42	52
20	52
23	3
43	33
37	54
28	15
46	14
48	54
30	45
27	34
23	39
48	53
8	3
46	55
42	29
6	22
3	8
48	31
41	30
22	6
46	54
32	8
45	44
22	12
17	27
43	16
25	24
41	55
3	44
45	48
2	54
10	34
0	40
41	14
19	2
21	11
11	41
12	56
46	51
31	41
46	11
14	20
27	16
25	43
1	21
36	40
44	30
3	51
21	41
31	53
5	12
30	36
39	6
16	35
14	33
24	43
1	3
17	6
33	15
23	45
45	36
31	49
2	46
7	27
5	44
23	54
44	50
45	37
37	34
23	22
2	1
40	41
34	51
8	44
49	46
8	2
6	38
10	26
29	2
45	47
20	47
32	50
22	28
10	22
34	55
11	36
28	8
22	45
15	50
9	19
29	17
8	22
32	22
20	20
44	13
9	25
33	51
40	33
14	7
24	48
19	54
12	1
26	47
15	28
46	27
48	5
16	52
5	11
41	18
32	0
43	47
26	16
28	27
21	40
24	46
44	24
24	33
39	21
18	41
22	11
14	4
48	47
42	55
22	37
4	38
34	31
34	3
42	49
24	21
25	14
11	6
43	20
21	51
34	14
35	8
43	53
39	19
41	3
43	34
37	5
25	0
37	26
22	19
31	45
11	1
7	5
38	53
16	40
11	2
10	42
10	49
23	50
3	36
8	34
44	32
17	23
3	27
36	18
31	6
31	42
38	0
5	0
10	51
32	42
1	5
47	14
8	26
45	53
12	25
20	2
7	8
18	56
46	35
38	35
20	5
35	21
44	35
30	11
48	52
12	38
33	4
13	7
46	33
23	32
15	40
30	28
23	14
31	43
7	23
44	53
37	20
45	52
22	47
48	56
37	52
39	28
43	49
45	22
32	51
25	50
34	13
13	12
7	42
32	52
8	31
26	8
20	49
10	12
9	30
28	54
7	53
3	40
35	4
28	18
30	54
43	26
0	11
21	18
2	24
9	13
47	15
41	11
35	49
44	9
36	17
22	24
33	47
8	0
41	46
1	9
0	41
1	46
45	9
6	48
16	14
30	53
8	21
37	19
18	4
40	32
39	13
46	21
12	2
4	34
15	17
44	27
44	46
7	22
34	16
24	31
33	55
49	30
10	56
19	12
42	18
18	5
